Preprocessed,Stopword
Vitamin B12 untuk ibu hamil dan menyusui Kategori C Studi pada binatang percobaan memperlihatkan adanya efek samping t,Vitamin B12 ibu hamil dan menyusui Kategori C Studi pada binatang percobaan memperlihatkan adanya efek samping t
"Manfaat Mengobati kekurangan vitamin B12, terutama pada penderita anemia pernisiosa Bentuk obat Suntik tablet effervescence tablet kunyah tablet kapsul kapsul lepas tunda dan sirop Golongan Suplemen","Manfaat Mengobati kekurangan vitamin B12, terutama pada penderita anemia pernisiosa Suntik effervescence kunyah lepas tunda dan sirop Golongan Suplemen"
Informasi terlengkap tentang VITAMIN B1 IPI 45 TABLET,Informasi terlengkap tentang VITAMIN B1 IPI 45
VITAMIN B COMPLEX IPI 45 TABLETMencegah dan mengobati defisiensi vitamin B kompleks Deskripsi,VITAMIN B COMPLEX IPI 45 TABLETMencegah dan mengobati defisiensi vitamin B kompleks
"Vitamin B1 Mononitrate Vitamin B2, Vitamin B6 HCl Calcium Panthothenate Nicotinamide 1 tablet sehari Berikan sesudah makan Dus Pot 45 tablet Hipersensitivitas terhadap thiamine atau komponen lain pada formula Item lainnya","Vitamin B1 Mononitrate Vitamin B2, Vitamin B6 HCl Calcium Panthothenate Nicotinamide 1 sehari Berikan sesudah makan Pot 45 Hipersensitivitas terhadap thiamine komponen lain pada formula Item lainnya"
Vitamin c ipi mengandung vitamin c 50 miligram membantu memenuhi kebutuhan vitamin c dalam tubuh  Tiap tablet mengandung vitamin C 50 miligram dengan rasa jeruk Indikasi Untuk mencegah dan mengobati kekurangan vitamin C Aturan pakai Pencegahan kekurangan vitamin C 1 tablet sehari,Vitamin c ipi mengandung vitamin c 50 miligram membantu memenuhi kebutuhan vitamin c tubuh mengandung vitamin C 50 miligram dengan rasa jeruk Indikasi mencegah dan mengobati kekurangan vitamin C Aturan pakai Pencegahan kekurangan vitamin C 1 sehari
"Vitamin A 6000 unit-internasional vitamin B1 10 miligram vitamin B2 2 miligram vitamin B6 2,5 miligram vitamin B12 4 mikrogram vitamin C 100 miligram vitamin D3 400 unit-internasional nicotinamide 20 miligram Ca pantothenate 7,5 miligram folic acid 0,4 miligram Fe fumarate 90 miligram Ca lactate 250 miligram vitamin E 10 miligram Fe fumarate 90 miligram copper sulphate 0,15 miligram K iodide 0,1 miligram Item lainnya","Vitamin A 6000 unit-internasional vitamin B1 10 miligram vitamin B2 2 miligram vitamin B6 2,5 miligram vitamin B12 4 mikrogram vitamin C 100 miligram vitamin D3 400 unit-internasional nicotinamide 20 miligram Ca pantothenate 7,5 miligram folic acid 0,4 miligram Fe fumarate 90 miligram Ca lactate 250 miligram vitamin E 10 miligram Fe fumarate 90 miligram copper sulphate 0,15 miligram K iodide 0,1 miligram Item lainnya"
VITAN 250 miligram 20 TABLETMemperbaiki vitalitas,VITAN 250 miligram 20 TABLETMemperbaiki vitalitas
Per-tablet Tribulus Terrestris L 250 miligram PRIA Penurunan libido perbaikan vitalitas 1-2 sehari 1 tablet Disfungsi Ereksi 3 sehari 1-2 tablet selama 30-40 hari pemeliharaan 1 sehari 1 tablet,Per-tablet Tribulus Terrestris L 250 miligram PRIA Penurunan libido perbaikan vitalitas 1-2 sehari 1 Disfungsi Ereksi 3 sehari 1-2 selama 30-40 pemeliharaan 1 sehari 1
Tablet 250 miligram 5 4 Herbal Midix Graha Farma,250 miligram 5 4 Herbal Midix Graha Farma
VITAPLEX DROPS 10 MLSuplemen nutrisi untuk memelihara kesehatan memperbaiki sistem imun perkembangan otak pada anak-anak Deskripsi,VITAPLEX DROPS 10 MLSuplemen nutrisi memelihara kesehatan memperbaiki sistem imun perkembangan otak pada anak-anak
"Per 0,6 mililiter Vit A 2000 unit-internasional vit B1 1 miligram vit B2 1,2 miligram vit B6 1 miligram vit D 400 unit-internasional Niacinamide 10 miligram Pantothenic acid 5 miligram DHA 10 miligram Colostrum Bovine 50 miligram Item lainnya","Per 0,6 mililiter Vit A 2000 unit-internasional vit B1 1 miligram vit B2 1,2 miligram vit B6 1 miligram vit D 400 unit-internasional Niacinamide 10 miligram Pantothenic acid 5 miligram DHA 10 miligram Colostrum Bovine 50 miligram Item lainnya"
"Tiap kemasan obat Vitaquin cream mengandung sebagai berikut Hydroquinone 5% dalamdasar krim yang mengandung sunscreen spektrum luas terdiri dari Octyl Dimethyl PABA 5%, Oxybenzone 4%","Vitaquin cream mengandung Hydroquinone 5% dasar krim mengandung sunscreen spektrum luas terdiri dari Octyl Dimethyl PABA 5%, Oxybenzone 4%"
Golongan Obat Bebas Kelas Terapi Vitamin dan Mineral Kandungan Vitamin A 0.7 miligram Vitamin E 45 miligram Vitamin D3 0.005 miligram Vitamin C 100 miligram Vitamin B1,Golongan Bebas Kelas Terapi Vitamin dan Mineral Vitamin A 0.7 miligram Vitamin E 45 miligram Vitamin D3 0.005 miligram Vitamin C 100 miligram Vitamin B1
VITAZET 30 KAPLETPencegahan pengobatan kekurangan multivitamin Kalsium Seng Deskripsi,VITAZET 30 KAPLETPencegahan pengobatan kekurangan multivitamin Kalsium Seng
"Vitamin E 30 unit-internasional vitamin C 750 miligram vitamin B1 15 miligram vitamin B2 15 miligram vitamin B6 25 miligram vitamin B12 12 miligram nicotinamide 100 miligram Ca pantothenate 20 miligram folic acid 0,4 miligram Ca Dewasa 1 kaplet sehari Item lainnya","Vitamin E 30 unit-internasional vitamin C 750 miligram vitamin B1 15 miligram vitamin B2 15 miligram vitamin B6 25 miligram vitamin B12 12 miligram nicotinamide 100 miligram Ca pantothenate 20 miligram folic acid 0,4 miligram Ca Dewasa 1 kaplet sehari Item lainnya"
Vitomil AF merupakan suplemen vitamin dan mineral untuk ibu hamil dan menyusui dengan kandungan sebagai berikut Beta karoten dan Retinol merupakanyang akan diubah menjadi vitamin A dalam tubuh,Vitomil AF merupakan suplemen vitamin dan mineral ibu hamil dan menyusui dengan Beta karoten dan Retinol merupakanyang akan diubah menjadi vitamin A tubuh
"Vitamin B Kompleks B1, B2, B6, B12 berfungsi dalam menjaga kesehatan kulit mata dan sistem saraf Item lainnya","Vitamin B Kompleks B1, B2, B6, B12 berfungsi menjaga kesehatan kulit mata dan sistem saraf Item lainnya"
VITONAL F 10 KAPLETAnemia akibat kekuranganBesi pada wanita usia subur terutama selama hamil menyusui Deskripsi,VITONAL F 10 KAPLETAnemia akibat kekuranganBesi pada wanita usia subur terutama selama hamil menyusui
"Vitamin B1 1,6 miligram vitamin B2 1,8 miligram vitamin B6 2,2 miligram vitamin B12 10 mikrogram vitamin C 50 miligram Fe fumarate 91 miligram copper 0,2 miligram manganese 0,2 miligram folic acid 400 mikrogram 1-2 kali sehari 1 kaplet Item lainnya","Vitamin B1 1,6 miligram vitamin B2 1,8 miligram vitamin B6 2,2 miligram vitamin B12 10 mikrogram vitamin C 50 miligram Fe fumarate 91 miligram copper 0,2 miligram manganese 0,2 miligram folic acid 400 mikrogram 1-2 kali sehari 1 kaplet Item lainnya"
VitrolentaVitrolenta Tetes Mata 5 mililiter Golongan Obat Keras Kategori Obat Midriatikum Kandungan Potassium Iodide 5 miligram Sodium Iodide 10 miligram Bentuk Tetes Mata,VitrolentaVitrolenta Tetes Mata 5 mililiter Golongan Keras Kategori Midriatikum Potassium Iodide 5 miligram Sodium Iodide 10 miligram Tetes Mata
"Vitrolenta Minidose 0,6 mililiter Golongan Obat Keras Kategori Obat Midriatikum Kandungan Potassium Iodide 5 miligram Sodium Iodide 10 miligram Bentuk Tetes Mata","Vitrolenta Minidose 0,6 mililiter Golongan Keras Kategori Midriatikum Potassium Iodide 5 miligram Sodium Iodide 10 miligram Tetes Mata"
Asorbic asid 60 miligram Pyridoxine 2 miligram Asam folat 200 mikrogram Kalsium pantotenat 6 miligram,Asorbic asid 60 miligram Pyridoxine 2 miligram Asam folat 200 mikrogram Kalsium pantotenat 6 miligram
Vivace mengandung Ramipril obat yang termasuk golongan angiotensin-converting enzyme ACE inhibitor generasi kedua,Vivace mengandung Ramipril termasuk golongan angiotensin-converting enzyme ACE inhibitor generasi kedua
"Tiap tablet Vivace mengandung sebagai berikut Ramipril 2,5 miligram tablet Ramipril 5 miligram tablet Ramipril 10 miligram tablet","Vivace mengandung Ramipril 2,5 miligram Ramipril 5 miligram Ramipril 10 miligram"
Vocefa Forte mengandung 250 miligram cefadroxil monohydrate tiap 5 mililiter yang berperan untuk terapi pada infeksi saluran nafas infeksi kulit dan jaringan lunak infeksi saluran kemih osteomielitis artritis septikemia peritonitis serta sepsis purpura,Vocefa Forte mengandung 250 miligram cefadroxil monohydrate 5 mililiter berperan terapi pada infeksi saluran nafas infeksi kulit dan jaringan lunak infeksi saluran kemih osteomielitis artritis septikemia peritonitis serta sepsis purpura
Kandungan Domperidone 10 miligram Bentuk Tablet Satuan Penjualan Stripe Kemasan Stripe 10 Tablet Farmasi Erela Kegunaan,Domperidone 10 miligram Satuan Penjualan Stripe Stripe 10 Farmasi Erela Kegunaan
Volequin mengandung Levofloksasin yaitu antibiotik golongan florokuinolon yang bekerja dengan menghambat DNA pada bakteri sehingga tidak terjadi proses replikasi dan trankripsi DNA dan sel bakteri tidak terbentuk,Volequin mengandung Levofloksasin yaitu antibiotik golongan florokuinolon bekerja dengan menghambat DNA pada bakteri sehingga terjadi proses replikasi dan trankripsi DNA dan sel bakteri terbentuk
Informasi terlengkap tentang VOLINOL 500 miligram 6 KAPLET,Informasi terlengkap tentang VOLINOL 500 miligram 6 KAPLET
VOLOX KAPLET 500 MG Untuk menyembuhkan infeksi bakteri yang sensitif terhadap levofloxacin sinusitis eksaserbasi akut bronkitis kronis pneumonia infeksi saluran kemih Deskripsi,VOLOX KAPLET 500 MG menyembuhkan infeksi bakteri sensitif terhadap levofloxacin sinusitis eksaserbasi akut bronkitis kronis pneumonia infeksi saluran kemih
Informasi terlengkap tentang VOLTADEX 50 miligram 10 TABLET,Informasi terlengkap tentang VOLTADEX 50 miligram 10
Tiap kemasan Voltaflam 50 miligram Tablet mengandung sebagai berikut Natrium diclofenac 50 miligram tablet,Voltaflam 50 miligram mengandung Natrium diclofenac 50 miligram
Voltaren adalah obat antiperadangan dengan kandungan utama diclofenac sodium,Voltaren adalah antiperadangan dengan utama diclofenac sodium
Diclofenac sodium dalam voltaren ini akan mengurangiyang menimbulkan peradangan dalam tubuh yaitu prostaglandin,Diclofenac sodium voltaren ini akan mengurangiyang menimbulkan peradangan tubuh yaitu prostaglandin
Peradangan sendi akibat sistem kekebalan tubuh yang menyerang jaringannya sendiri,Peradangan sendi akibat sistem kekebalan tubuh menyerang jaringannya sendiri
VOLTAREN SR 75 miligram 10 TABLET mengandung Natrium Diclofenac yang merupakan obat golongan NSAID,VOLTAREN SR 75 miligram 10 mengandung Natrium Diclofenac merupakan golongan NSAID
Tiap kemasan Volten 50 miligram Tablet mengandung sebagai berikut Natrium diclofenac 50 miligram tablet,Volten 50 miligram mengandung Natrium diclofenac 50 miligram
Voluven merupakan salah satu sediaan injeksi yang mengandung Hydroxyethyl dan NaCl obat ini diproduksi oleh Fresenius Kabi,Voluven merupakan salah satu sediaan injeksi mengandung Hydroxyethyl dan NaCl ini diproduksi oleh Fresenius Kabi
"Voluven diindikasikan untuk pasien dehidrasi kekurangan cairan , pengobatan dan pencegahan hipovolemia penurunan volume darah akibat kehilangan darah maupun cairan tubuh .","Voluven diindikasikan pasien dehidrasi kekurangan cairan , pengobatan dan pencegahan hipovolemia penurunan volume darah akibat kehilangan darah maupun cairan tubuh ."
VOMCERAN Ondansentron Bentuk sediaan Tablet salut selaput 4 miligram dan 8 miligram Ampul 4 miligram 2 mililiter dan 8 miligram 4 mililiter Farmakologi Ondansetron merupakan antagonis selektif reseptor 5-HT3 menghambat mual dan muntah post operatif karena agen sitotoksik maupun radiasi,VOMCERAN Ondansentron sediaan salut selaput 4 miligram dan 8 miligram Ampul 4 miligram 2 mililiter dan 8 miligram 4 mililiter Farmakologi Ondansetron merupakan antagonis selektif reseptor 5-HT3 menghambat mual dan muntah post operatif karena agen sitotoksik maupun radiasi
VOMETA FT 10 miligram 10 TABLET VOMETA FT 10 miligram TABLET adalah obat dengan merek dagang yang memiliki kandungan Domperidone 10 miligram per tablet Domperidone adalah obat yang digunakan untuk menghilangkan mual dan muntah terutama yang disebabkan terapi sitotoksik,VOMETA FT 10 miligram 10 VOMETA FT 10 miligram adalah dengan merek dagang memiliki Domperidone 10 miligram per Domperidone adalah digunakan menghilangkan mual dan muntah terutama disebabkan terapi sitotoksik
KeteranganVometraz Tablet Kelas Terapi Antiemetik dan terapi Tambahan Kandungan Ondansetron HCl 4 miligram Ondansetron HCl 8 miligram Bentuk Tablet Salut Selaput,KeteranganVometraz Kelas Terapi Antiemetik dan terapi Tambahan Ondansetron HCl 4 miligram Ondansetron HCl 8 miligram Salut Selaput
Vometraz Ampul Golongan Obat Keras Kelas Terapi Antiemetik dan Terapi Tambahan Kandungan Ondansetron HCl 2 miligram mililiter Ondansetron HCl 2 miligram mililiter,Vometraz Ampul Golongan Keras Kelas Terapi Antiemetik dan Terapi Tambahan Ondansetron HCl 2 miligram mililiter Ondansetron HCl 2 miligram mililiter
Vometron merupakan obat yang digunakan untuk mencegah muntah dan mual yang disebabkan oleh terapi obat dan operasi Obat ini merupakan golongan obat keras yang membutuhkan resep dokter Vometron mengandung ondansetron HCI,Vometron merupakan digunakan mencegah muntah dan mual disebabkan oleh terapi dan operasi ini merupakan golongan keras membutuhkan resep dokter Vometron mengandung ondansetron HCI
Deskripsi VOMIDONE 10 miligram TAB 50S mengandung Domperidone Tersedia dalam bentuk tablet yang didistribusikan oleh Pharos Produk ini dapat digunakan untuk mual dan muntah karena berbagai sebab induksi levodopa bromokriptin dan terapi simtomatik dispepsia fungsional,VOMIDONE 10 miligram TAB 50S mengandung Domperidone Tersedia didistribusikan oleh Pharos Produk ini dapat digunakan mual dan muntah karena berbagai sebab induksi levodopa bromokriptin dan terapi simtomatik dispepsia fungsional
Deskripsi VOMILAT TAB 30S mengandung vitamin B6 dan Asam Folat Tersedia dalam bentuk tablet yang didistribusikan oleh Kalbe Farma Produk ini dapat digunakan membantu memenuhi kebutuhan vitamin B6 dan asam folat bagi ibu hamil,VOMILAT TAB 30S mengandung vitamin B6 dan Asam Folat Tersedia didistribusikan oleh Kalbe Farma Produk ini dapat digunakan membantu memenuhi kebutuhan vitamin B6 dan asam folat bagi ibu hamil
VOMIL B6 memiliki  Ginger extr 400 miligram vit B6 40 miligram folic acid 400 mikrogram,VOMIL B6 memiliki Ginger extr 400 miligram vit B6 40 miligram folic acid 400 mikrogram
Salah satu  yaitu vitamin B6 memiliki manfaat yaitu dapat mengatasi kekurangan vitamin B6 misalnya karena malnutrisi morning sickness yaitu keadaan mual saat kehamilan .,Salah satu yaitu vitamin B6 memiliki manfaat yaitu dapat mengatasi kekurangan vitamin B6 misalnya karena malnutrisi morning sickness yaitu keadaan mual saat kehamilan .
VOMINA Domperidone 10 miligram dan 5 miligram 5mL Bentuk sediaan Tablet dan sirup Farmakologi Efek anti emetik dapat disebabkan oleh kombinasi efek periferal gastrokinetik dengan antagonis terhadap reseptor dopamine di kemoreseptor “ trigger zone” yang terletak di luar sawar darah otak di area postrema Indikasi,VOMINA Domperidone 10 miligram dan 5 miligram 5mL sediaan dan sirup Farmakologi Efek anti emetik dapat disebabkan oleh kombinasi efek periferal gastrokinetik dengan antagonis terhadap reseptor dopamine di kemoreseptor trigger zone terletak di luar sawar darah otak di area postrema Indikasi
Produk VOMIPER 10 miligram TAB 30S mengandung Domperidone Maleate yang dapat digunakan untuk mual dan muntah dispepsia yang disertai dengan keterlambatan proses pengosongan lambung penyakit GERD rasa penuh pada epigastrium ulu hati dan perut rasa panas dan terbakar pada epigastrium dan retrosternal,Produk VOMIPER 10 miligram TAB 30S mengandung Domperidone Maleate dapat digunakan mual dan muntah dispepsia disertai dengan keterlambatan proses pengosongan lambung penyakit GERD rasa penuh pada epigastrium ulu hati dan perut rasa panas dan terbakar pada epigastrium dan retrosternal
"Kandungan Metoclopramide HCl 10 miligram Bentuk Tablet Satuan Penjualan Stripe , Kemasan Stripe 10 Tablet Farmasi Corsa Industries Vomipram Suspensi","Metoclopramide HCl 10 miligram Satuan Penjualan Stripe , Stripe 10 Farmasi Corsa Industries Vomipram Suspensi"
KeteranganVomistop FT Tablet Golongan Obat Keras Kelas Terapi Antiemetik Kandungan Domperidone 10 miligram,KeteranganVomistop FT Golongan Keras Kelas Terapi Antiemetik Domperidone 10 miligram
Vomistop Drop Golongan Obat Keras Kelas Terapi Antiemetik Kandungan Domperidone 5 miligram mililiter,Vomistop Drop Golongan Keras Kelas Terapi Antiemetik Domperidone 5 miligram mililiter
Vomistop Suspensi Golongan Obat Keras Kelas Terapi Antiemetik Kandungan Domperidone 5 miligram mililiter,Vomistop Suspensi Golongan Keras Kelas Terapi Antiemetik Domperidone 5 miligram mililiter
VOMITAS Domperidone Bentuk sediaan Tablet FDT 10 miligram dan syr 5 miligram 5 mililiter 60 mililiter Farmakologi Domperidone merupakan antagonis dopamin derivat benzimidazol yang mempunyai potensi sebagai antiemetik dan prokinetik,VOMITAS Domperidone sediaan FDT 10 miligram dan syr 5 miligram 5 mililiter 60 mililiter Farmakologi Domperidone merupakan antagonis dopamin derivat benzimidazol mempunyai potensi antiemetik dan prokinetik
Indikasi • Untuk mual muntah akut,Indikasi mual muntah akut
Deskripsi VOMITROL 1 miligram 10TETES DROP 10 mililiter mengandung Metoclopramide HCl,VOMITROL 1 miligram 10TETES DROP 10 mililiter mengandung Metoclopramide HCl
Produk ini dapat digunakan untuk mempermudah intubasi saluran cerna membantu pengosongan lambung memperlancar jalannyakontras pada saat radiologik lambung dan duodenum,Produk ini dapat digunakan mempermudah intubasi saluran cerna membantu pengosongan lambung memperlancar jalannyakontras pada saat radiologik lambung dan duodenum
Vomizole bubuk 40 miligram obat,Vomizole 40 miligram
Vomizole adalah obat untuk obat yang digunakan untuk mengobati penyakit asam lambung,Vomizole adalah digunakan mengobati penyakit asam lambung
 obat Pantoprazole 40 miligram Aturan pakai obat Diinjeksikan secara intravena dalam waktu antara 2-15 menit sesuai petunjuk dokter  jangan dikonsumsi pada kondisi,Pantoprazole 40 miligram Aturan pakai Diinjeksikan secara intravena waktu antara 2-15 menit sesuai petunjuk dokter jangan dikonsumsi pada kondisi
Kelas Terapi Anaestesi Kandungan Levobupivance 0.5 % Bentuk Caira Injeksi Satuan Penjualan Vial 10 mililiter Kemasan Vial 10 mililiter,Kelas Terapi Anaestesi Levobupivance 0.5 % Caira Injeksi Satuan Penjualan Vial 10 mililiter Vial 10 mililiter
